"Journal Data Filtered By:  Selected JCR Year: 2018 Selected Editions: SCIE,SSCI Selected Category Scheme: WoS",,,,,,,,,,,,,,,,
Rank,Full Journal Title,JCR Abbreviated Title,ISSN,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Average Journal Impact Factor Percentile,Normalized Eigenfactor
3923,YOUTH & SOCIETY,YOUTH SOC,0044-118X,"1,688",2.523,2.477,2.582,0.827,52,8.4,10.2,0.002170,0.848,100.00,87.580,0.25838
3925,International Forum of Allergy & Rhinology,INT FORUM ALLERGY RH,2042-6976,"2,380",2.521,1.994,2.286,1.060,150,3.6,8.0,0.006560,0.598,92.67,79.762,0.78115
3926,AMINO ACIDS,AMINO ACIDS,0939-4451,"8,931",2.520,2.369,2.935,0.690,145,6.8,9.3,0.010490,0.694,86.90,42.308,1.24847
3926,Critical Care and Resuscitation,CRIT CARE RESUSC,1441-2772,907,2.520,2.227,2.415,0.647,34,5.7,6.4,0.002800,1.099,91.18,40.909,0.33322
3928,Flexible Services and Manufacturing Journal,FLEX SERV MANUF J,1936-6582,542,2.519,2.346,3.168,0.636,33,4.3,8.0,0.001310,0.794,93.94,62.287,0.15600
3929,JOURNAL OF PEACE RESEARCH,J PEACE RES,0022-3433,"4,550",2.518,2.245,3.745,0.944,54,10.0,9.9,0.008300,2.294,100.00,83.331,0.98758
3930,European Review of Aging and Physical Activity,EUR REV AGING PHYS A,1813-7253,372,2.517,2.414,2.640,0.444,18,5.0,8.3,0.000710,0.725,83.33,40.566,0.08536
3931,JOURNAL OF SEPARATION SCIENCE,J SEP SCI,1615-9306,"11,376",2.516,1.891,2.209,0.871,465,5.6,6.4,0.012300,0.365,94.41,61.310,1.46384
3932,Australian Critical Care,AUST CRIT CARE,1036-7314,722,2.515,2.379,2.301,0.891,46,5.8,8.1,0.001010,0.537,78.26,76.772,0.12070
3932,Australian Critical Care,AUST CRIT CARE,1036-7314,722,2.515,2.379,2.301,0.891,46,5.8,8.1,0.001010,0.537,78.26,76.772,0.12070
3932,Chinese Journal of Cancer Research,CHINESE J CANCER RES,1000-9604,"1,252",2.515,2.030,2.572,0.657,67,3.8,5.1,0.002470,0.480,88.06,35.870,0.29383
3932,Royal Society Open Science,ROY SOC OPEN SCI,2054-5703,"4,118",2.515,2.393,2.693,0.423,"1,002",2.2,8.5,0.017150,0.951,97.90,63.043,2.04024
3932,VACUUM,VACUUM,0042-207X,"8,923",2.515,1.955,2.053,0.782,620,6.2,7.2,0.008400,0.336,99.68,58.806,0.99999
3937,FLUID PHASE EQUILIBRIA,FLUID PHASE EQUILIBR,0378-3812,"14,757",2.514,2.054,2.280,0.663,356,9.0,10.2,0.013440,0.459,99.44,62.468,1.59901
3937,SIAM Journal on Imaging Sciences,SIAM J IMAGING SCI,1936-4954,"3,806",2.514,2.230,3.693,0.632,87,7.2,9.2,0.011200,1.928,100.00,70.708,1.33285
3939,CLINICAL & EXPERIMENTAL METASTASIS,CLIN EXP METASTAS,0262-0898,"3,262",2.513,2.460,2.963,0.687,67,9.0,6.9,0.003450,0.754,97.01,35.435,0.41125
3939,EUROPEAN SPINE JOURNAL,EUR SPINE J,0940-6719,"16,408",2.513,2.004,2.870,0.917,421,7.2,8.6,0.021210,0.717,83.37,58.690,2.52365
3939,European Journal of Oral Implantology,EUR J ORAL IMPLANTOL,1756-2406,"1,127",2.513,1.975,3.843,0.500,44,5.1,6.7,0.002320,1.059,68.18,78.571,0.27608
3942,BMC BIOINFORMATICS,BMC BIOINFORMATICS,1471-2105,"30,607",2.511,2.388,2.970,0.388,523,8.2,7.0,0.045700,1.247,100.00,63.645,5.43698
3942,CURRENT ISSUES IN MOLECULAR BIOLOGY,CURR ISSUES MOL BIOL,1467-3037,681,2.511,2.319,3.092,1.000,36,9.2,6.6,0.000630,0.734,0.00,41.973,0.07496
3942,Journal of Happiness Studies,J HAPPINESS STUD,1389-4978,"3,927",2.511,2.308,3.171,0.686,121,7.7,10.1,0.005840,0.922,96.69,82.013,0.69502
3942,Journal of the American Board of Family Medicine,J AM BOARD FAM MED,1557-2625,"3,654",2.511,2.144,2.690,1.531,98,7.1,5.9,0.006540,1.024,90.82,74.252,0.77842
3942,MOLECULAR AND CELLULAR PROBES,MOL CELL PROBE,0890-8508,"1,950",2.511,2.427,2.013,0.400,55,10.0,7.9,0.002110,0.534,98.18,44.147,0.25179
3947,Journal of Cardiovascular Nursing,J CARDIOVASC NURS,0889-4655,"1,997",2.510,2.205,2.733,0.483,87,6.1,7.5,0.003080,0.671,89.66,81.110,0.36659
3947,Journal of Cardiovascular Nursing,J CARDIOVASC NURS,0889-4655,"1,997",2.510,2.205,2.733,0.483,87,6.1,7.5,0.003080,0.671,89.66,81.110,0.36659
3949,BMC Medical Research Methodology,BMC MED RES METHODOL,1471-2288,"9,832",2.509,2.386,4.950,0.318,176,7.4,8.0,0.021030,2.167,89.20,64.796,2.50199
3949,JOURNAL OF NEURO-OPHTHALMOLOGY,J NEURO-OPHTHALMOL,1070-8022,"1,748",2.509,2.103,2.365,1.030,66,6.7,9.4,0.002520,0.629,89.39,57.825,0.30015
3951,JOURNAL OF HIGHER EDUCATION,J HIGH EDUC,0022-1546,"3,029",2.508,2.277,2.714,0.297,37,10.3,10.1,0.001850,0.911,97.30,86.214,0.22044
3951,Scandinavian Journal of Hospitality and Tourism,SCAND J HOSP TOUR,1502-2250,982,2.508,1.698,2.580,2.000,28,6.8,10.0,0.000600,0.303,96.43,77.495,0.07141
3953,ACM Transactions on Sensor Networks,ACM T SENSOR NETWORK,1550-4859,"1,401",2.507,2.465,2.363,0.400,30,7.0,6.5,0.001730,0.530,96.67,57.564,0.20664
3953,ANALYTICAL BIOCHEMISTRY,ANAL BIOCHEM,0003-2697,"38,439",2.507,2.419,2.338,0.759,324,10.4,7.6,0.013800,0.607,98.77,50.896,1.64244
3953,BMC Medical Ethics,BMC MED ETHICS,1472-6939,"1,317",2.507,2.373,2.571,0.406,96,4.0,7.4,0.004170,0.812,91.67,87.801,0.49638
3953,BMC Medical Ethics,BMC MED ETHICS,1472-6939,"1,317",2.507,2.373,2.571,0.406,96,4.0,7.4,0.004170,0.812,91.67,87.801,0.49638
3953,HARVARD REVIEW OF PSYCHIATRY,HARVARD REV PSYCHIAT,1067-3229,"1,803",2.507,2.478,3.775,0.611,36,8.7,7.6,0.002880,1.295,77.78,58.759,0.34372
3953,HARVARD REVIEW OF PSYCHIATRY,HARVARD REV PSYCHIAT,1067-3229,"1,803",2.507,2.478,3.775,0.611,36,8.7,7.6,0.002880,1.295,77.78,58.759,0.34372
3953,JOURNAL OF LIPOSOME RESEARCH,J LIPOSOME RES,0898-2104,"1,088",2.507,2.463,2.511,0.625,32,7.5,10.0,0.000900,0.395,93.75,45.090,0.10790
3960,JOURNAL OF AGRICULTURAL ECONOMICS,J AGR ECON,0021-857X,"2,042",2.506,2.337,3.096,0.705,44,8.8,10.0,0.002150,0.827,97.73,81.669,0.25601
3960,JOURNAL OF AGRICULTURAL ECONOMICS,J AGR ECON,0021-857X,"2,042",2.506,2.337,3.096,0.705,44,8.8,10.0,0.002150,0.827,97.73,81.669,0.25601
3962,AQUATIC ECOLOGY,AQUAT ECOL,1386-2588,"1,783",2.505,2.474,2.235,0.320,25,9.5,10.2,0.001760,0.616,100.00,74.418,0.21001
3962,Expert Review of Hematology,EXPERT REV HEMATOL,1747-4086,"1,311",2.505,2.438,2.144,0.568,88,3.7,5.8,0.003700,0.685,0.00,44.521,0.44092
3964,NEURORADIOLOGY,NEURORADIOLOGY,0028-3940,"5,656",2.504,2.266,2.661,0.496,135,10.0,7.3,0.007010,0.794,96.30,52.693,0.83479
3965,COPD-Journal of Chronic Obstructive Pulmonary Disease,COPD,1541-2555,"2,362",2.503,2.392,2.650,0.320,75,5.9,7.1,0.004270,0.722,70.67,42.063,0.50822
3965,International Journal of Clinical Oncology,INT J CLIN ONCOL,1341-9625,"2,902",2.503,2.448,2.301,0.897,146,4.5,7.9,0.006260,0.630,91.78,35.000,0.74521
3967,ACTA BIOCHIMICA ET BIOPHYSICA SINICA,ACTA BIOCH BIOPH SIN,1672-9145,"3,243",2.502,2.354,2.619,0.699,136,5.8,7.7,0.004370,0.550,86.03,44.633,0.52074
3967,Journal of Computational Science,J COMPUT SCI-NETH,1877-7503,"1,789",2.502,2.265,2.347,1.022,226,3.1,7.2,0.003620,0.545,99.56,64.966,0.43166
3969,INTERNATIONAL JOURNAL OF ADHESION AND ADHESIVES,INT J ADHES ADHES,0143-7496,"5,403",2.501,2.214,2.683,0.479,215,7.5,9.7,0.004990,0.467,99.07,57.301,0.59452
3969,PROTEINS-STRUCTURE FUNCTION AND BIOINFORMATICS,PROTEINS,0887-3585,"15,425",2.501,2.070,2.285,1.047,148,10.2,9.3,0.012310,0.859,99.32,43.781,1.46480
3971,Aging Male,AGING MALE,1368-5538,860,2.500,1.125,2.165,0.921,38,5.5,7.8,0.000830,0.324,100.00,51.606,0.09883
3971,BioEnergy Research,BIOENERG RES,1939-1234,"2,813",2.500,2.333,3.043,0.464,69,4.8,7.6,0.005530,0.665,91.30,49.304,0.65835
3971,CELL COMMUNICATION AND ADHESION,CELL COMMUN ADHES,1541-9061,448,2.500,2.500,2.093,0.333,3,10.2,6.7,0.000490,0.695,100.00,34.362,0.05895
3971,Environmental Development,ENVIRON DEV,2211-4645,920,2.500,2.455,Not Available,0.409,44,3.9,7.4,0.001810,Not Available,88.64,56.375,0.21614
3971,GENETIC EPIDEMIOLOGY,GENET EPIDEMIOL,0741-0395,"2,702",2.500,2.295,2.584,0.323,62,8.1,7.3,0.006790,1.418,98.39,64.507,0.80848
3971,PHYSICA A-STATISTICAL MECHANICS AND ITS APPLICATIONS,PHYSICA A,0378-4371,"28,062",2.500,1.641,2.464,0.967,"1,587",7.3,9.1,0.025000,0.432,99.31,68.519,2.97442
3971,Worldviews on Evidence-Based Nursing,WORLDV EVID-BASED NU,1545-102X,"1,240",2.500,2.250,2.990,0.500,56,5.5,6.0,0.001930,0.697,75.00,94.537,0.22979
3971,Worldviews on Evidence-Based Nursing,WORLDV EVID-BASED NU,1545-102X,"1,240",2.500,2.250,2.990,0.500,56,5.5,6.0,0.001930,0.697,75.00,94.537,0.22979
3979,DERMATOLOGY,DERMATOLOGY,1018-8665,"5,298",2.497,2.421,2.276,0.677,31,10.1,6.5,0.004890,0.690,77.42,64.394,0.58199
3979,European Journal of Cardiovascular Nursing,EUR J CARDIOVASC NUR,1474-5151,"1,648",2.497,2.048,2.486,0.954,65,5.7,7.4,0.002480,0.589,90.77,79.744,0.29532
3979,European Journal of Cardiovascular Nursing,EUR J CARDIOVASC NUR,1474-5151,"1,648",2.497,2.048,2.486,0.954,65,5.7,7.4,0.002480,0.589,90.77,79.744,0.29532
3979,Hematology-American Society of Hematology Education Program,HEMATOL-AM SOC HEMAT,1520-4391,"2,944",2.497,2.451,2.981,0.113,62,6.1,3.9,0.007260,1.159,100.00,61.209,0.86457
3983,Asian Journal of Organic Chemistry,ASIAN J ORG CHEM,2193-5807,"2,680",2.496,2.402,2.503,0.797,315,2.8,6.1,0.006530,0.533,79.37,62.281,0.77702
3983,EUROPEAN JOURNAL OF PAEDIATRIC NEUROLOGY,EUR J PAEDIATR NEURO,1090-3798,"2,764",2.496,2.344,2.371,0.835,139,5.4,8.4,0.005830,0.755,76.98,61.739,0.69410
3983,INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY,INT J ADV MANUF TECH,0268-3768,"30,520",2.496,1.660,2.750,0.494,"1,864",4.9,7.5,0.033780,0.387,98.77,54.057,4.01906
3983,Journal of Hospitality and Tourism Management,J HOSP TOUR MANAG,1447-6770,937,2.496,2.239,Not Available,0.535,43,5.5,9.2,0.000800,Not Available,97.67,63.282,0.09596
3987,ASAIO JOURNAL,ASAIO J,1058-2916,"3,348",2.494,2.325,2.358,0.778,158,6.1,6.8,0.005530,0.645,93.67,53.938,0.65875
3987,Vitamins and Hormones,VITAM HORM,0083-6729,"1,669",2.494,2.494,2.265,0.547,53,8.9,10.1,0.001540,0.546,0.00,38.264,0.18426
3989,Burns & Trauma,BURNS TRAUMA,2321-3868,357,2.493,2.211,Not Available,0.353,34,2.9,7.5,0.001060,Not Available,70.59,68.743,0.12703
3989,INTERNATIONAL JOURNAL OF REMOTE SENSING,INT J REMOTE SENS,0143-1161,"22,212",2.493,2.208,2.456,0.930,460,10.1,8.4,0.013790,0.531,98.04,56.964,1.64051
3989,PLANT PATHOLOGY,PLANT PATHOL,0032-0862,"6,426",2.493,2.248,2.563,0.607,191,9.4,10.0,0.006360,0.643,94.24,77.367,0.75663
3989,URBAN ECOSYSTEMS,URBAN ECOSYST,1083-8155,"2,578",2.493,2.278,2.781,0.510,98,6.1,9.8,0.003650,0.631,98.98,64.715,0.43538
3993,Cornell Hospitality Quarterly,CORNELL HOSP Q,1938-9655,"1,351",2.492,2.397,3.851,0.314,35,6.1,10.2,0.001440,0.650,97.14,69.434,0.17149
3993,IMMUNOGENETICS,IMMUNOGENETICS,0093-7711,"3,243",2.492,2.297,2.111,0.738,61,10.1,9.8,0.002760,0.612,95.08,36.669,0.32862
3993,NUCLEAR MEDICINE AND BIOLOGY,NUCL MED BIOL,0969-8051,"3,858",2.492,2.337,2.292,0.373,75,8.5,8.1,0.004230,0.561,100.00,57.752,0.50379
3993,PHARMACEUTICAL BIOLOGY,PHARM BIOL,1388-0209,"5,465",2.492,2.441,2.330,0.176,74,5.1,8.0,0.006900,0.393,94.59,62.485,0.82159
3997,GEOLOGICAL MAGAZINE,GEOL MAG,0016-7568,"4,582",2.490,2.408,2.353,0.905,95,10.2,10.3,0.003500,0.738,91.58,60.969,0.41748
3997,MARKETING SCIENCE,MARKET SCI,0732-2399,"6,826",2.490,2.221,3.598,0.423,52,10.2,10.0,0.008040,2.381,96.15,56.803,0.95751
3997,ULTRASONIC IMAGING,ULTRASONIC IMAGING,0161-7346,"1,117",2.490,2.471,2.135,0.292,24,10.3,9.3,0.000860,0.590,100.00,63.394,0.10290
4000,DEMOGRAPHY,DEMOGRAPHY,0070-3370,"7,288",2.489,2.228,3.958,0.272,92,10.1,10.0,0.012740,2.112,100.00,91.379,1.51654
4000,Diagnostics,DIAGNOSTICS,2075-4418,533,2.489,2.228,Not Available,0.704,81,2.7,5.9,0.001360,Not Available,60.49,71.563,0.16242
4000,International Journal of Integrated Care,INT J INTEGR CARE,1568-4156,"1,137",2.489,2.074,2.932,0.442,43,5.6,6.9,0.002010,0.737,88.37,68.778,0.23954
4000,International Journal of Integrated Care,INT J INTEGR CARE,1568-4156,"1,137",2.489,2.074,2.932,0.442,43,5.6,6.9,0.002010,0.737,88.37,68.778,0.23954
4000,SUPERCONDUCTOR SCIENCE & TECHNOLOGY,SUPERCOND SCI TECH,0953-2048,"7,113",2.489,1.846,2.454,0.726,201,6.3,8.1,0.013120,0.746,98.51,58.824,1.56076
4005,ANIMAL COGNITION,ANIM COGN,1435-9448,"3,041",2.488,2.233,2.350,0.957,69,6.6,10.0,0.005360,0.720,94.20,72.622,0.63865
4005,Bioscience of Microbiota Food and Health,BIOSCI MICROB FOOD H,2186-3342,224,2.488,2.366,Not Available,0.167,12,3.3,10.0,0.000610,Not Available,91.67,38.039,0.07297
4005,CHEMOECOLOGY,CHEMOECOLOGY,0937-7409,"1,015",2.488,2.326,1.936,0.474,19,10.1,10.1,0.000910,0.553,100.00,48.891,0.10852
4005,NeoBiota,NEOBIOTA,1619-0033,292,2.488,2.209,Not Available,0.368,19,4.1,9.8,0.000720,Not Available,100.00,63.564,0.08633
4005,QUALITY OF LIFE RESEARCH,QUAL LIFE RES,0962-9343,"13,192",2.488,2.258,2.979,0.725,298,8.4,8.6,0.019030,0.986,88.93,70.035,2.26405
4005,QUALITY OF LIFE RESEARCH,QUAL LIFE RES,0962-9343,"13,192",2.488,2.258,2.979,0.725,298,8.4,8.6,0.019030,0.986,88.93,70.035,2.26405
4005,QUARTERLY JOURNAL OF EXPERIMENTAL PSYCHOLOGY,Q J EXP PSYCHOL,1747-0218,"5,875",2.488,2.368,2.562,0.784,213,8.1,10.1,0.010520,1.033,99.53,61.835,1.25261
4005,QUARTERLY JOURNAL OF EXPERIMENTAL PSYCHOLOGY,Q J EXP PSYCHOL,1747-0218,"5,875",2.488,2.368,2.562,0.784,213,8.1,10.1,0.010520,1.033,99.53,61.835,1.25261
4005,Review of Research in Education,REV RES EDUC,0091-732X,"1,301",2.488,2.302,4.040,0.500,12,10.2,7.4,0.001410,1.425,91.67,85.802,0.16793
4014,Human Resource Development Review,HUM RESOUR DEV REV,1534-4843,"1,028",2.487,2.205,2.586,0.813,16,10.0,10.0,0.000400,0.311,50.00,57.373,0.04839
4014,JOURNAL OF POLITICS,J POLIT,0022-3816,"7,739",2.487,2.299,3.348,0.641,131,10.2,10.1,0.016400,2.863,93.89,79.830,1.95162
4014,Journal of Infection and Public Health,J INFECT PUBLIC HEAL,1876-0341,"1,449",2.487,2.358,2.265,0.767,159,3.1,6.8,0.003810,0.637,91.19,55.414,0.45361
4017,Diagnostic and Interventional Imaging,DIAGN INTERV IMAG,2211-5684,"1,359",2.486,1.620,Not Available,0.500,78,3.6,6.4,0.003400,Not Available,84.62,56.202,0.40528
4017,Lithosphere,LITHOSPHERE-US,1941-8264,"1,155",2.486,2.349,2.961,1.128,47,5.0,10.2,0.003390,1.107,100.00,68.636,0.40349
4017,PEDIATRIC BLOOD & CANCER,PEDIATR BLOOD CANCER,1545-5009,"10,879",2.486,2.205,2.677,0.721,448,5.8,7.5,0.024110,0.923,88.84,51.182,2.86883
4017,Pain Practice,PAIN PRACT,1530-7085,"2,422",2.486,2.341,2.523,1.079,101,4.9,8.8,0.004520,0.683,87.13,45.875,0.53791
4021,CLINICAL AUTONOMIC RESEARCH,CLIN AUTON RES,0959-9851,"1,761",2.485,2.029,2.139,2.415,41,8.9,10.0,0.001950,0.640,41.46,39.933,0.23235
4021,Journal of Research on Educational Effectiveness,J RES EDUC EFF,1934-5747,638,2.485,2.382,2.560,0.792,24,5.6,9.6,0.002740,1.662,100.00,85.391,0.32628
4021,Tourism Management Perspectives,TOUR MANAG PERSPECT,2211-9736,"1,241",2.485,2.333,Not Available,0.681,91,3.6,9.6,0.001870,Not Available,94.51,60.668,0.22303
4024,CONTEMPORARY EDUCATIONAL PSYCHOLOGY,CONTEMP EDUC PSYCHOL,0361-476X,"5,009",2.484,2.214,4.169,0.300,60,10.2,10.1,0.004670,1.456,100.00,78.814,0.55567
4024,NEUROLOGICAL SCIENCES,NEUROL SCI,1590-1874,"5,637",2.484,1.922,2.227,0.647,255,5.1,7.9,0.009990,0.532,82.35,39.494,1.18926
4026,Frontiers of Physics,FRONT PHYS-BEIJING,2095-0462,"1,244",2.483,2.124,2.507,0.885,139,3.3,7.8,0.003500,0.700,86.33,67.284,0.41683
4027,ACTA ASTRONAUTICA,ACTA ASTRONAUT,0094-5765,"8,843",2.482,1.679,2.309,0.580,541,5.1,8.2,0.013560,0.512,98.52,85.484,1.61324
4027,BIOLOGICAL RESEARCH,BIOL RES,0716-9760,"1,472",2.482,2.471,2.358,0.196,56,6.5,7.9,0.001910,0.513,89.29,72.989,0.22734
4027,Journal of Experimental Nanoscience,J EXP NANOSCI,1745-8080,"1,133",2.482,2.482,1.655,0.444,27,4.3,7.3,0.001560,0.258,96.30,53.813,0.18570
4027,VEGETATION HISTORY AND ARCHAEOBOTANY,VEG HIST ARCHAEOBOT,0939-6314,"2,038",2.482,2.153,2.523,0.786,56,9.5,10.2,0.002310,0.728,89.29,81.689,0.27564
4031,Annual Review of Applied Linguistics,ANNU REV APPL LINGUI,0267-1905,"1,017",2.481,2.407,3.797,0.000,12,8.9,8.9,0.001100,1.308,100.00,93.750,0.13154
4031,BRITISH JOURNAL OF EDUCATIONAL PSYCHOLOGY,BRIT J EDUC PSYCHOL,0007-0998,"3,694",2.481,2.377,3.317,1.611,36,10.2,10.0,0.002800,1.143,100.00,77.119,0.33403
4031,EUROPEAN PHYSICAL JOURNAL A,EUR PHYS J A,1434-6001,"5,879",2.481,2.271,2.469,0.567,224,6.1,10.1,0.012040,0.819,95.54,54.356,1.43343
4031,INTERNATIONAL JOURNAL FOR NUMERICAL AND ANALYTICAL METHODS IN GEOMECHANICS,INT J NUMER ANAL MET,0363-9061,"5,651",2.481,2.129,2.783,0.971,102,10.1,10.1,0.006770,0.904,100.00,61.297,0.80647
4035,BMC Complementary and Alternative Medicine,BMC COMPLEM ALTERN M,1472-6882,"9,502",2.479,2.359,2.820,0.445,337,4.4,7.9,0.015550,0.495,96.14,72.222,1.85012
4036,INTERNATIONAL PSYCHOGERIATRICS,INT PSYCHOGERIATR,1041-6102,"6,574",2.478,2.295,2.846,1.238,168,6.7,8.4,0.010130,0.828,83.33,58.996,1.20613
4036,INTERNATIONAL PSYCHOGERIATRICS,INT PSYCHOGERIATR,1041-6102,"6,574",2.478,2.295,2.846,1.238,168,6.7,8.4,0.010130,0.828,83.33,58.996,1.20613
4038,Cellular and Molecular Bioengineering,CELL MOL BIOENG,1865-5025,893,2.477,2.432,2.435,0.308,39,4.6,8.3,0.002380,0.784,97.44,39.626,0.28334
4038,JOURNAL OF PALLIATIVE MEDICINE,J PALLIAT MED,1096-6218,"5,938",2.477,2.193,2.806,0.468,220,6.8,7.1,0.010540,0.902,94.55,61.735,1.25390
4038,Minerva Urologica E Nefrologica,MINERVA UROL NEFROL,0393-2249,590,2.477,1.447,1.816,0.545,66,2.4,5.9,0.001000,0.343,56.06,64.375,0.12012
4038,NEUROPSYCHOLOGY,NEUROPSYCHOLOGY,0894-4105,"5,707",2.477,2.381,3.200,0.455,88,9.9,10.0,0.006470,1.104,98.86,54.290,0.77032
4038,NEUROPSYCHOLOGY,NEUROPSYCHOLOGY,0894-4105,"5,707",2.477,2.381,3.200,0.455,88,9.9,10.0,0.006470,1.104,98.86,54.290,0.77032
4043,Forensic Toxicology,FORENSIC TOXICOL,1860-8965,742,2.476,2.000,2.576,0.894,47,3.8,5.3,0.001400,0.518,91.49,45.699,0.16678
4043,KOREAN JOURNAL OF CHEMICAL ENGINEERING,KOREAN J CHEM ENG,0256-1115,"6,209",2.476,2.218,2.051,0.621,280,4.7,6.9,0.007260,0.321,97.86,57.362,0.86466
4043,Updates in Surgery,UPDATES SURG,2038-131X,700,2.476,2.323,Not Available,0.260,73,3.2,6.8,0.001880,Not Available,69.86,68.719,0.22415
4046,Assessment in Education-Principles Policy & Practice,ASSESS EDUC,0969-594X,"1,107",2.475,2.050,Not Available,1.742,31,8.1,9.2,0.001020,Not Available,96.77,84.979,0.12227
4046,Hydrology Research,HYDROL RES,0029-1277,"1,417",2.475,1.960,2.028,0.860,136,3.4,8.9,0.002220,0.391,100.00,67.582,0.26483
4046,International Breastfeeding Journal,INT BREASTFEED J,1746-4358,855,2.475,1.813,Not Available,0.333,51,5.2,6.2,0.001230,Not Available,94.12,72.236,0.14729
4046,MINERVA MEDICA,MINERVA MED,0026-4806,817,2.475,2.232,1.741,0.674,43,5.0,7.0,0.000940,0.301,60.47,70.938,0.11297
4046,ORTHOPEDIC CLINICS OF NORTH AMERICA,ORTHOP CLIN N AM,0030-5898,"3,006",2.475,2.408,2.364,0.268,56,10.2,7.5,0.002650,0.730,96.43,69.079,0.31542
4051,Advances in Polymer Science,ADV POLYM SCI,0065-3195,"3,727",2.474,2.449,2.571,1.533,15,10.3,10.2,0.001740,0.590,0.00,64.943,0.20744
4051,BASIC AND APPLIED ECOLOGY,BASIC APPL ECOL,1439-1791,"3,128",2.474,2.365,2.760,0.730,74,8.2,9.3,0.003900,0.808,94.59,57.273,0.46434
4051,Endocrine Connections,ENDOCR CONNECT,2049-3614,874,2.474,2.351,2.915,0.513,199,2.6,7.4,0.002810,0.819,85.43,36.207,0.33460
4054,Assessment & Evaluation in Higher Education,ASSESS EVAL HIGH EDU,0260-2938,"3,266",2.473,1.734,2.832,0.551,98,8.8,9.4,0.002360,0.476,100.00,84.568,0.28134
4054,International Journal for Equity in Health,INT J EQUITY HEALTH,1475-9276,"3,319",2.473,2.256,2.988,0.462,182,4.4,7.1,0.009780,0.961,93.41,78.354,1.16450
4054,JOURNAL OF BIOLOGICAL RHYTHMS,J BIOL RHYTHM,0748-7304,"3,069",2.473,2.323,3.349,0.646,48,10.1,10.0,0.003570,1.295,87.50,61.537,0.42512
4054,PLANT GROWTH REGULATION,PLANT GROWTH REGUL,0167-6903,"5,184",2.473,2.062,2.758,0.547,128,10.0,8.8,0.003780,0.514,96.09,70.833,0.45013
4058,BRITISH JOURNAL OF HEALTH PSYCHOLOGY,BRIT J HEALTH PSYCH,1359-107X,"2,786",2.472,2.358,3.279,0.386,57,8.7,9.1,0.003740,1.070,91.23,65.769,0.44523
4058,Neural Regeneration Research,NEURAL REGEN RES,1673-5374,"3,648",2.472,2.139,2.057,0.481,264,3.5,6.9,0.008920,0.452,67.42,30.995,1.06201
4060,Climate and Development,CLIM DEV,1756-5529,928,2.471,2.341,3.046,1.207,58,4.3,8.5,0.001850,0.722,82.76,68.803,0.22112
4060,JOURNAL OF CONFLICT RESOLUTION,J CONFLICT RESOLUT,0022-0027,"4,977",2.471,2.268,3.447,0.924,79,10.2,10.1,0.008930,2.293,97.47,82.213,1.06280
4060,JOURNAL OF RURAL HEALTH,J RURAL HEALTH,0890-765X,"1,729",2.471,2.184,2.210,1.158,57,8.4,8.1,0.002630,0.856,98.25,68.646,0.31329
4060,JOURNAL OF RURAL HEALTH,J RURAL HEALTH,0890-765X,"1,729",2.471,2.184,2.210,1.158,57,8.4,8.1,0.002630,0.856,98.25,68.646,0.31329
4060,JOURNAL OF THERMAL ANALYSIS AND CALORIMETRY,J THERM ANAL CALORIM,1388-6150,"17,550",2.471,1.417,2.084,0.808,882,5.7,8.0,0.014990,0.280,98.98,60.919,1.78424
4065,Clinical Psychopharmacology and Neuroscience,CLIN PSYCHOPHARM NEU,1738-1088,644,2.470,1.970,2.574,0.367,60,3.3,9.2,0.001400,0.527,85.00,41.011,0.16737
4065,Infectious Agents and Cancer,INFECT AGENTS CANCER,1750-9378,892,2.470,2.393,2.360,0.415,41,4.4,6.7,0.001910,0.580,82.93,31.147,0.22792
4065,SCIENTIFIC STUDIES OF READING,SCI STUD READ,1088-8438,"1,943",2.470,2.136,3.759,0.735,34,10.0,10.1,0.002710,1.418,100.00,79.790,0.32301
4068,Archives of Osteoporosis,ARCH OSTEOPOROS,1862-3522,"1,097",2.469,2.262,2.925,0.191,131,4.9,7.8,0.003490,0.900,92.37,51.640,0.41560
4068,Environmental Communication-A Journal of Nature and Culture,ENVIRON COMMUN,1752-4032,884,2.469,1.875,2.754,0.718,71,4.7,7.7,0.001320,0.548,90.14,70.582,0.15756
4068,INTERNATIONAL JOURNAL OF SYSTEMS SCIENCE,INT J SYST SCI,0020-7721,"5,049",2.469,2.123,2.185,0.434,256,4.8,6.0,0.008670,0.512,100.00,63.862,1.03195
4068,Journal of Global Antimicrobial Resistance,J GLOB ANTIMICROB RE,2213-7165,962,2.469,2.330,2.352,0.642,165,2.2,6.4,0.002960,0.617,91.52,46.067,0.35282
4068,Journal of Ovarian Research,J OVARIAN RES,1757-2215,"1,593",2.469,2.375,2.717,0.455,99,4.4,7.2,0.003490,0.594,85.86,43.103,0.41581
4073,International Journal of Environmental Research and Public Health,INT J ENV RES PUB HE,1660-4601,"20,692",2.468,2.081,2.948,0.561,"2,843",3.6,7.1,0.046800,0.715,90.82,65.653,5.56826
